age,sex,three_purchases,photo,video,desc,comp,mean_grade,com,com_with_photo_video
54,1,1,3,5,2,5,5,2,5
34,0,1,2,4,3,3,5,5,5
71,0,1,4,5,1,4,5,2,5
28,0,1,5,5,2,5,5,3,5
51,1,1,2,3,3,4,5,5,5
59,1,0,4,3,2,2,5,5,4
62,1,1,4,3,2,3,5,5,5
79,1,1,2,2,1,2,2,5,3
19,1,1,2,3,1,3,5,4,4
23,0,0,2,3,1,4,5,5,5
46,0,1,2,5,2,5,4,5,5
62,0,1,3,2,2,4,3,5,4
76,1,1,3,2,3,5,4,5,4
34,1,0,5,2,2,5,3,5,5
33,1,0,4,5,2,5,5,5,5
28,1,0,1,3,1,5,2,5,5
18,1,0,5,4,2,5,2,3,5
29,1,0,4,5,1,4,5,2,2
30,0,0,5,5,3,5,2,4,5
29,1,1,1,5,2,4,4,5,5
20,0,1,2,5,2,5,4,5,5
30,1,0,3,5,2,2,3,4,5
20,1,0,3,1,3,5,5,5,5
23,1,0,2,2,3,5,5,2,5
17,0,1,5,5,1,5,4,4,5
52,1,1,5,5,1,4,5,5,3
28,1,0,4,5,2,4,5,4,5
42,0,1,3,5,2,2,4,5,5
33,1,0,5,5,1,3,5,5,5
33,1,1,2,3,1,4,5,5,4
30,1,0,2,3,3,5,4,5,5
16,1,0,5,2,2,5,5,5,5
23,1,0,3,2,2,5,5,5,5
34,1,0,4,4,1,4,5,5,3
21,1,1,5,5,1,5,5,5,5
25,1,0,1,2,1,5,5,2,5
30,1,1,4,4,2,1,2,5,5
21,0,1,4,3,2,5,5,5,5
71,1,1,2,5,1,5,5,4,5
24,0,1,5,5,3,1,5,5,5
22,1,1,2,3,1,4,5,5,5
59,0,0,3,5,1,5,5,5,5
30,1,1,4,5,2,4,5,5,3
78,1,0,4,4,2,4,5,5,5
28,0,1,5,5,1,4,4,3,5
57,0,1,5,4,1,3,5,1,4
27,1,1,2,5,3,5,3,4,5
31,1,0,2,5,2,4,5,5,4
18,1,1,4,4,1,4,5,4,5
33,0,1,3,5,2,5,5,5,2
31,1,0,2,4,1,5,5,4,5
60,1,1,4,2,1,4,5,5,5
31,0,1,5,5,1,4,5,3,2
36,1,1,4,5,1,3,5,5,5
33,0,1,3,5,2,5,3,5,2
34,1,1,4,3,1,5,5,5,5
30,1,0,4,5,1,4,3,5,4
45,1,0,3,5,1,5,2,5,4
26,1,0,4,5,2,4,5,5,5
29,1,0,4,5,3,5,2,3,4
56,0,0,5,5,4,3,5,5,5
23,0,1,2,3,2,5,5,4,5
37,1,1,4,4,1,5,4,5,4
44,0,1,3,3,1,4,5,5,5
26,1,1,4,5,3,3,2,4,5
15,1,0,4,5,1,3,5,4,5
60,0,1,2,4,2,5,5,5,5
53,1,1,3,2,2,4,5,5,5
15,1,0,4,5,2,4,5,5,2
17,1,0,2,5,1,4,5,5,3
19,0,0,2,3,3,5,5,5,5
29,1,0,3,4,2,1,5,4,5
29,0,1,2,5,1,5,5,5,5
20,0,0,3,5,1,5,3,5,5
27,0,1,2,4,2,4,5,5,5
71,0,0,4,4,3,5,3,5,5
18,1,0,3,5,2,4,5,4,4
22,0,0,5,4,1,4,5,5,5
21,1,0,3,5,2,5,5,5,5
15,1,1,2,5,3,3,5,5,3
51,1,0,2,5,4,3,5,3,2
22,0,1,4,5,1,5,3,5,5
20,0,1,1,5,1,5,5,5,5
28,1,1,2,5,3,2,5,4,5
17,1,1,5,5,1,2,5,5,5
28,0,0,3,4,1,4,4,5,2
15,1,1,2,5,2,4,5,5,5
20,0,1,4,5,2,2,5,5,5
30,1,1,5,2,1,3,5,4,5
76,0,1,3,3,1,4,5,4,5
29,1,0,2,5,2,4,5,5,5
72,1,1,2,5,3,3,5,5,4
55,0,0,3,3,1,3,5,5,3
23,1,0,1,4,1,5,5,5,5
54,1,0,2,5,2,3,5,5,3
26,0,1,4,5,1,5,5,5,5
16,1,1,3,5,1,1,4,5,5
30,1,0,5,5,2,5,5,4,3
22,1,1,4,5,2,4,5,5,5
42,1,0,1,3,2,2,5,2,5
33,1,0,5,5,2,5,5,3,5
32,0,0,3,5,1,3,5,5,3
17,1,1,4,5,1,5,5,3,3
52,1,1,2,5,1,5,5,5,3
27,1,1,5,5,3,5,5,4,5
41,0,1,2,4,3,3,4,5,3
17,0,1,5,5,1,5,5,3,3
19,0,1,2,5,1,5,5,5,5
50,1,0,5,1,1,2,4,4,5
17,1,0,5,5,2,4,5,5,5
31,0,0,5,4,3,4,4,5,4
58,0,1,3,5,1,5,5,4,5
26,1,0,2,5,5,4,5,5,4
29,0,1,4,5,1,5,3,5,5
22,0,1,5,2,1,3,5,3,5
33,1,0,5,4,1,4,5,5,5
17,1,1,4,3,2,5,4,5,5
31,1,1,2,4,3,4,5,5,1
25,0,1,3,3,1,4,5,5,5
48,1,1,3,2,3,5,5,5,5
16,1,0,3,5,1,2,5,5,2
34,0,1,5,2,2,5,5,5,5
20,1,1,5,5,1,4,5,5,3
23,1,0,3,4,4,4,5,5,5
54,0,0,3,5,2,2,5,5,5
34,1,1,5,5,3,3,4,5,5
17,1,1,2,3,3,5,5,5,5
43,1,1,2,5,1,5,5,5,5
58,1,1,4,5,3,5,3,4,5
61,1,0,5,5,1,5,5,5,5
31,1,0,2,5,1,4,4,5,5
19,1,1,4,4,2,3,3,5,5
17,0,1,4,4,2,4,5,4,4
44,1,1,3,5,4,5,2,4,5
29,1,1,5,5,1,3,5,5,5
56,0,0,4,5,1,5,3,5,5
15,1,1,1,5,2,5,5,5,5
23,0,1,4,4,3,5,4,2,5
42,0,0,5,4,1,5,4,5,4
27,1,1,3,4,3,5,5,5,5
48,1,1,5,5,1,2,5,5,5
27,1,1,3,4,1,5,5,1,5
22,1,1,4,3,1,4,5,5,3
76,1,1,1,5,2,5,3,5,4
31,1,1,4,4,2,5,5,5,5
23,1,1,4,5,1,4,5,4,5
24,0,1,4,5,3,5,4,5,5
36,1,1,3,5,2,4,4,5,4
15,1,1,5,4,2,5,5,3,2
19,1,1,2,5,1,5,2,3,3
72,1,1,2,2,3,5,5,5,5
32,1,1,5,5,2,5,5,5,5
16,1,1,5,1,1,5,2,2,4
22,1,1,1,5,1,5,3,5,3
79,1,0,3,4,2,4,3,5,3
16,0,0,5,4,1,2,5,5,4
44,1,1,5,5,1,4,5,5,2
29,1,1,2,4,3,5,5,5,5
45,0,1,2,5,1,5,5,5,4
53,1,1,5,5,1,5,4,5,5
19,1,1,5,3,1,5,3,5,5
48,1,1,3,5,4,5,2,5,5
47,1,1,5,4,3,5,1,5,5
75,1,1,2,5,2,3,1,4,5
76,1,0,5,2,2,5,5,5,5
26,1,0,4,5,3,3,5,5,3
42,1,0,5,5,1,4,5,5,5
55,1,0,5,5,1,4,5,3,4
29,1,0,4,2,1,4,3,5,5
38,0,0,3,4,1,4,5,5,5
20,0,0,5,4,1,4,4,5,5
33,1,1,4,5,2,4,5,5,5
26,1,1,4,5,2,2,5,5,5
18,1,1,1,5,1,5,4,5,4
15,1,1,2,1,3,5,5,4,5
49,1,0,3,3,3,3,4,5,5
34,1,1,2,1,3,5,3,5,5
57,1,1,3,3,3,3,3,5,5
44,0,1,2,5,3,5,3,5,4
22,1,1,3,3,2,4,5,5,5
30,0,1,1,2,2,3,5,5,5
19,0,1,4,2,1,5,4,5,5
23,0,1,5,5,3,3,5,5,3
22,1,1,5,3,1,5,3,3,5
34,0,1,3,5,2,2,5,5,5
43,0,1,2,5,1,4,4,5,5
67,1,0,2,5,1,5,5,3,5
60,1,1,4,5,2,5,5,3,5
44,1,1,5,1,3,5,5,4,5
35,0,1,5,5,1,5,5,5,3
27,0,1,5,2,1,5,5,4,5
40,1,0,4,5,1,5,5,3,5
34,0,0,3,5,2,5,5,5,5
35,1,1,5,4,3,4,5,1,5
33,1,1,5,5,2,3,5,4,2
65,1,1,2,5,2,5,5,4,5
35,1,0,3,5,2,1,5,1,5
34,1,0,4,3,1,3,5,4,5
20,0,1,4,4,4,3,5,3,3
16,1,1,5,5,2,5,5,5,5
35,1,1,2,5,1,2,5,2,4
20,1,0,4,3,4,2,4,4,5
23,0,0,3,5,1,1,4,5,1
24,1,1,4,5,3,5,5,5,5
57,1,1,2,5,2,2,5,5,5
72,0,0,2,4,1,5,5,5,5
30,0,1,5,3,3,2,5,5,5
55,1,1,5,3,2,5,5,4,2
71,0,0,3,4,3,4,5,5,5
20,0,1,5,5,2,5,5,5,5
43,1,0,3,4,3,4,4,5,5
15,1,1,4,5,3,5,5,5,5
18,1,1,3,5,3,5,4,3,2
18,1,1,5,5,2,3,5,5,5
17,0,0,2,3,2,4,5,1,3
27,1,1,5,3,3,4,4,2,5
