age,sex,chronic,doctor,desc,comp,mean_grade,com
45,0,1,5,5,2,2,4
61,0,0,5,3,2,2,5
39,1,0,4,3,2,4,5
17,0,0,5,2,2,5,5
58,0,0,5,4,3,4,3
76,1,1,5,5,3,5,5
66,1,1,3,4,4,4,5
36,1,1,5,5,4,4,4
78,1,1,5,4,3,3,3
30,1,1,5,4,2,3,5
56,1,1,5,4,2,5,5
42,0,0,5,5,3,3,5
15,1,1,5,2,1,5,4
79,1,0,5,5,3,4,2
74,0,1,4,4,3,5,2
43,1,1,5,4,3,5,2
36,1,1,5,3,3,5,5
21,0,1,4,5,5,3,5
36,0,0,5,2,4,4,3
26,0,0,5,5,4,1,3
71,1,0,5,3,1,5,3
53,1,0,5,4,2,4,4
26,1,1,5,2,1,3,5
76,1,0,5,4,4,4,1
79,1,1,5,2,2,4,2
24,1,1,5,5,3,3,2
18,1,0,5,5,4,2,4
48,1,1,5,5,3,2,3
15,0,1,5,5,2,2,3
44,1,1,5,5,5,3,5
67,1,0,5,3,2,4,3
27,0,1,5,4,1,2,5
38,0,1,5,5,1,4,5
56,0,1,5,5,3,5,2
35,1,1,5,5,4,2,2
75,1,1,5,3,2,5,2
62,1,0,5,4,1,3,4
39,1,0,3,4,3,5,5
42,1,1,5,5,3,4,4
36,1,1,5,2,2,2,5
70,1,1,4,5,2,5,5
55,0,1,5,4,4,1,5
51,1,0,5,5,2,1,4
39,1,1,5,3,3,4,3
37,1,0,5,5,2,4,4
21,1,1,5,4,2,4,4
76,1,1,5,5,2,4,5
57,0,0,5,5,2,4,5
16,1,1,5,4,2,5,5
51,1,1,5,5,4,2,5
44,0,1,5,4,3,5,3
50,1,0,5,5,1,2,5
34,1,1,5,4,1,5,5
41,1,1,4,5,2,4,5
71,1,0,5,4,2,5,5
15,1,0,5,3,3,4,3
17,1,1,5,2,2,5,5
65,0,1,5,5,3,4,5
31,1,1,5,4,2,4,5
76,1,0,5,4,3,5,3
56,1,1,5,5,3,5,1
73,1,0,5,5,1,3,5
50,1,1,5,5,3,2,4
76,1,1,5,5,3,4,4
39,1,1,5,2,4,5,5
53,1,1,5,3,3,1,1
48,1,1,5,4,3,4,5
66,1,1,5,5,3,5,2
31,1,1,5,3,3,4,5
45,1,0,5,5,2,5,4
57,1,1,5,4,3,3,3
68,1,1,5,5,3,2,2
58,0,0,5,2,3,3,5
53,1,0,5,3,2,5,5
25,1,1,5,5,2,3,3
61,1,1,5,2,2,1,5
68,1,1,5,5,1,4,2
67,0,0,5,5,2,1,5
74,1,1,5,5,2,5,2
69,0,0,5,2,1,5,2
29,1,0,5,4,2,5,5
51,1,1,5,5,3,5,5
80,1,1,4,5,2,5,4
25,1,0,5,5,3,4,5
78,1,1,5,2,2,3,5
51,1,1,5,3,1,4,3
34,1,1,5,2,2,3,2
56,0,1,5,5,5,2,5
41,1,0,5,5,4,4,3
18,1,0,5,3,1,5,5
58,1,0,5,5,3,5,4
74,1,0,5,3,5,4,3
59,1,1,5,5,2,3,4
38,1,0,5,5,5,4,5
47,0,0,5,4,1,3,2
50,1,0,5,4,1,5,4
21,1,0,5,5,2,2,5
78,1,0,5,5,5,4,2
40,1,0,5,5,4,1,4
80,1,0,5,3,3,5,2
59,0,1,5,4,2,4,4
75,1,0,5,5,1,3,5
47,1,1,5,4,3,2,5
67,0,1,5,5,1,3,5
