age,sex,allergy,photo,video,desc,mean_grade,com,com_with_photo_video
30,1,1,3,5,2,5,5,5
15,0,1,4,4,3,2,5,5
20,1,1,4,3,4,3,5,5
27,1,1,5,3,5,5,4,5
56,0,1,3,1,5,5,5,4
69,1,1,5,5,1,5,5,5
55,1,1,3,4,2,5,5,5
28,0,1,5,5,5,5,5,5
35,1,1,3,5,4,5,5,5
17,0,0,4,5,3,5,5,5
34,0,1,4,4,5,5,5,4
19,1,0,5,3,5,5,4,5
30,1,1,4,2,5,4,4,5
19,0,1,5,3,3,5,4,4
24,0,1,1,5,1,5,5,4
39,0,1,4,2,4,5,5,3
24,1,0,3,2,3,5,5,5
34,0,1,4,2,2,4,5,5
26,1,1,3,2,3,5,5,5
25,1,1,4,4,2,5,5,2
50,0,1,5,3,1,5,5,5
24,1,1,5,2,5,5,5,4
17,0,1,3,5,2,5,5,4
23,0,1,5,5,3,5,5,2
18,1,1,1,5,5,4,5,5
18,0,1,3,3,2,5,3,5
32,1,1,4,5,2,5,5,5
25,0,0,2,1,3,2,5,3
29,0,0,3,4,5,3,5,3
19,0,1,3,5,4,5,4,5
16,1,1,1,3,5,5,5,5
56,0,0,4,5,3,5,5,2
35,1,1,1,1,4,3,5,5
43,1,1,5,2,4,3,5,2
16,0,0,5,5,1,5,4,5
24,1,1,5,2,1,5,5,5
21,0,0,4,3,2,2,5,5
47,0,0,3,4,4,5,5,5
19,1,0,4,5,2,4,5,4
15,1,0,2,5,4,5,5,5
35,1,1,2,5,2,5,5,3
16,1,1,5,2,4,3,5,5
35,1,1,5,1,4,5,5,5
23,0,0,5,2,4,5,5,3
20,1,1,5,5,3,5,4,3
16,1,0,5,2,5,5,5,5
47,1,1,3,3,2,4,5,4
30,1,0,2,4,4,5,5,2
44,1,1,4,4,2,5,4,4
50,0,1,5,4,4,5,5,5
32,1,1,4,5,5,5,5,5
39,0,1,3,1,5,5,5,5
32,1,1,4,4,1,5,5,5
29,1,0,3,4,5,5,5,3
33,0,1,5,4,4,5,5,5
33,0,1,5,4,5,5,5,5
40,0,1,4,3,5,5,5,5
29,1,0,5,3,1,5,5,4
34,0,0,4,4,5,4,5,5
16,1,0,2,4,5,5,5,3
77,1,1,5,1,3,5,5,3
18,1,1,5,3,3,5,5,5
31,1,0,5,5,4,5,5,5
15,1,1,5,4,5,5,5,2
18,1,0,4,5,5,5,5,5
45,0,0,4,5,2,4,5,5
37,0,0,3,3,5,4,5,3
24,1,1,3,3,2,5,5,5
21,1,0,5,4,5,5,5,4
31,0,1,5,5,4,5,2,3
51,0,0,3,3,1,5,5,5
37,1,1,5,5,4,5,5,5
15,0,1,2,4,5,5,5,4
33,0,0,3,2,3,5,5,5
30,0,1,3,3,4,4,5,2
34,1,0,1,5,3,5,5,5
35,0,1,5,2,1,5,5,5
20,0,1,2,2,3,5,5,3
18,1,1,5,4,5,5,5,5
24,1,1,2,4,3,5,5,5
79,1,1,5,5,3,5,5,5
28,0,0,4,2,4,5,5,5
17,1,1,4,3,4,5,5,3
30,1,1,1,2,3,5,5,5
19,0,1,1,3,5,5,4,5
27,1,0,4,5,4,5,5,5
17,1,1,5,5,2,5,5,5
17,0,0,3,2,2,5,5,4
22,1,0,4,3,4,2,5,3
29,1,0,5,2,5,4,5,2
21,0,1,2,3,4,4,5,5
45,1,1,2,3,1,5,4,5
18,1,1,5,5,2,3,5,5
20,0,1,5,3,4,5,5,3
17,1,1,4,3,2,5,5,5
19,1,0,4,4,5,4,5,3
20,0,0,2,3,4,2,5,5
18,1,1,4,2,5,5,3,5
32,1,0,3,2,3,5,5,4
50,1,1,2,4,1,5,4,4
28,0,1,4,3,2,5,5,5
15,0,0,5,2,1,5,5,3
29,0,1,2,2,5,4,5,5
18,1,0,2,2,4,5,5,3
25,1,0,3,5,5,2,5,5
32,1,0,4,2,3,3,5,2
15,1,1,5,3,5,5,5,5
23,1,1,3,3,5,5,5,5
16,1,1,5,1,5,4,4,2
48,0,1,5,2,2,4,5,5
16,0,1,5,1,4,5,5,4
15,0,1,5,5,2,5,4,5
24,1,1,2,1,4,5,5,4
28,1,1,4,3,3,5,5,3
39,1,0,5,5,2,5,5,5
17,0,1,4,3,5,5,5,3
44,0,1,3,2,5,5,5,3
43,1,0,4,1,3,5,5,5
19,0,0,5,4,3,5,5,3
27,1,1,3,5,2,3,5,5
16,1,0,4,5,4,5,5,5
29,1,1,2,3,2,5,5,3
31,0,1,3,5,5,5,5,5
33,0,1,3,3,3,5,5,5
17,0,0,4,5,2,4,5,5
23,1,1,5,2,3,5,5,5
15,1,1,5,3,4,4,5,4
21,0,1,4,5,5,4,5,5
53,1,1,1,3,4,4,5,4
21,1,1,5,3,3,3,5,2
15,1,1,3,5,2,5,5,5
30,0,1,2,5,2,3,5,5
17,1,0,3,1,2,5,5,5
63,1,1,3,2,4,5,5,2
15,1,1,5,2,3,5,4,2
21,1,1,4,5,5,5,5,5
27,0,1,5,1,2,5,5,5
28,0,1,5,4,5,5,5,2
25,1,1,4,5,5,3,5,4
22,1,0,3,3,2,5,5,3
61,0,1,5,2,3,5,5,5
32,1,1,5,4,4,5,5,5
34,1,1,2,2,5,5,5,5
30,1,1,5,2,3,5,5,4
16,0,1,2,4,2,2,5,5
24,1,1,2,5,5,4,5,5
17,0,1,3,3,2,5,3,4
30,0,1,3,2,5,5,5,4
30,0,0,5,5,3,5,4,5
34,1,1,2,4,4,5,5,3
15,1,1,2,3,5,5,5,1
53,1,0,3,2,3,5,5,5
18,1,1,3,1,5,5,5,5
18,1,1,4,2,4,3,5,4
30,0,0,5,3,3,5,5,3
19,0,0,2,3,5,4,2,2
26,0,0,3,5,5,5,5,5
46,0,1,4,1,1,4,3,2
17,1,1,4,5,4,5,5,5
33,1,1,5,3,2,5,5,4
34,0,1,2,1,3,5,5,5
26,0,1,4,2,5,5,5,4
17,1,0,5,3,4,5,5,5
28,0,1,3,5,5,5,5,5
29,0,0,4,3,2,5,5,5
30,0,1,3,2,3,5,4,3
41,0,0,5,5,5,5,5,5
35,0,0,2,3,5,2,5,4
45,1,0,5,1,5,5,5,5
24,1,1,5,1,5,5,5,2
22,0,1,3,5,5,4,5,2
59,1,1,5,4,5,3,5,5
53,1,1,2,2,5,3,5,5
19,1,0,4,4,2,2,5,5
47,1,1,3,5,3,3,5,5
15,0,1,5,2,2,5,4,5
23,0,1,3,3,5,5,5,5
16,1,0,2,3,2,5,4,4
18,1,0,5,3,2,5,4,4
17,0,1,2,2,4,5,5,5
22,0,1,5,4,1,5,5,5
37,1,1,2,3,3,5,5,5
16,1,0,3,3,2,4,5,5
28,1,1,5,5,5,3,5,2
19,1,1,5,2,4,5,5,5
56,1,0,5,3,2,2,5,5
30,1,1,5,5,5,5,5,5
28,1,0,5,5,5,5,3,3
27,0,0,3,2,3,5,5,5
31,1,0,3,4,3,5,5,5
29,1,1,5,3,3,5,5,4
16,0,1,3,5,2,5,5,3
38,1,0,5,4,5,5,5,1
32,0,1,5,4,1,5,5,3
30,0,1,3,5,5,5,5,5
28,0,1,5,3,4,2,5,4
58,1,1,3,3,5,5,5,4
18,0,1,5,4,1,5,5,4
34,1,0,5,3,2,5,5,5
16,0,0,5,3,4,5,5,5
23,0,1,4,4,2,5,3,3
32,1,1,4,4,5,5,5,5
15,0,1,1,5,3,5,5,5
17,1,0,5,4,5,5,5,4
17,0,0,4,3,5,4,5,4
24,1,0,5,4,3,3,5,5
16,1,0,5,2,4,5,5,5
52,1,1,2,5,1,4,5,4
32,0,1,3,5,4,5,5,5
26,0,1,5,1,5,4,5,5
33,1,1,5,4,1,5,3,5
27,1,1,4,2,5,4,5,4
29,1,1,5,3,2,5,5,2
32,1,1,3,1,4,4,5,4
31,1,0,3,1,1,5,4,5
20,0,1,1,5,4,5,5,4
24,1,0,4,5,5,3,5,5
15,1,1,3,4,3,5,4,4
16,0,1,3,5,2,5,5,2
46,1,0,3,4,5,5,5,4
19,0,1,2,4,1,5,5,5
33,1,1,5,5,5,5,5,4
26,0,0,5,2,4,5,5,5
29,1,1,2,2,4,5,5,4
21,1,1,2,4,1,4,5,5
16,1,1,5,4,3,5,5,5
15,1,1,1,5,5,5,4,5
19,0,0,4,5,1,5,5,5
21,0,1,5,2,3,5,5,3
17,1,1,4,2,3,5,5,3
43,1,1,2,2,5,5,5,5
18,0,1,2,5,5,3,5,3
25,0,0,5,2,3,5,5,4
29,1,1,3,4,5,5,5,5
33,0,1,5,1,5,5,5,5
29,1,1,4,5,2,5,5,3
17,1,0,4,4,3,3,5,5
43,1,1,5,5,4,5,5,3
26,0,1,3,5,5,4,4,5
57,1,1,4,3,3,5,4,5
27,0,1,5,2,2,5,5,2
19,1,1,5,4,4,4,5,5
33,1,1,2,3,1,4,5,5
19,0,1,3,3,2,5,5,3
18,0,0,3,5,5,5,4,5
46,1,0,5,4,5,4,5,4
18,1,1,5,2,5,5,5,4
26,1,0,5,3,4,5,5,5
32,1,1,2,4,5,5,5,4
22,0,1,2,4,4,5,4,5
18,1,1,5,4,5,5,5,5
38,1,0,5,4,5,4,4,5
28,1,1,3,2,2,4,3,3
15,1,1,4,4,1,2,5,2
21,0,1,4,4,3,5,5,5
22,0,1,5,3,5,5,5,5
15,0,0,5,2,5,4,5,4
45,1,1,2,5,2,5,5,5
34,0,1,4,1,5,5,5,4
30,0,0,4,1,2,3,5,4
25,1,1,2,4,5,5,5,5
25,1,1,3,5,5,5,5,2
30,0,1,2,2,5,4,5,5
26,1,0,5,2,4,5,5,2
20,0,1,5,2,3,5,5,4
57,1,0,3,5,5,3,5,5
17,1,1,5,3,3,2,4,5
34,0,1,2,5,3,4,5,5
19,1,1,3,2,5,5,5,3
18,1,0,4,5,2,5,5,5
29,0,0,5,3,3,3,5,5
28,0,1,3,2,4,5,5,2
41,0,0,4,2,5,5,5,4
40,0,1,5,4,3,4,5,5
48,1,1,3,4,4,5,5,5
19,1,1,3,3,4,5,4,5
24,1,1,3,3,3,5,5,3
27,1,0,5,5,3,5,5,5
21,1,1,4,3,4,3,5,5
18,1,1,3,2,3,5,3,4
55,1,1,3,4,3,5,5,5
29,0,1,4,5,2,5,5,2
32,0,1,2,2,3,5,5,5
15,0,0,5,4,5,5,5,4
32,1,1,5,3,5,5,5,5
28,1,0,4,3,2,5,4,4
19,1,1,4,1,2,4,5,2
53,0,1,5,3,2,5,5,5
15,0,1,5,2,5,4,5,5
28,1,1,5,2,5,5,5,4
18,1,1,4,5,3,5,5,3
32,1,1,2,4,2,5,5,2
30,0,1,5,3,2,5,5,5
18,0,0,4,1,4,5,5,2
35,1,1,2,2,3,5,4,4
26,1,0,5,5,1,5,2,1
34,1,1,3,5,2,5,5,2
20,1,1,5,4,5,5,5,5
19,1,1,5,4,2,5,5,5
54,0,1,3,4,2,3,5,3
17,1,0,5,3,4,5,5,5
18,1,1,3,3,1,2,5,5
18,0,1,4,2,3,4,4,5
47,1,1,5,2,4,5,5,2
58,1,1,4,3,5,2,5,5
32,0,0,3,4,4,5,5,3
31,1,0,5,5,3,4,5,5
28,1,0,5,3,3,5,5,3
15,0,0,4,3,5,5,5,5
30,1,0,5,4,4,4,5,4
28,0,1,5,3,4,3,3,4
42,1,1,1,4,1,5,4,5
21,1,1,4,4,2,5,5,5
43,0,0,3,3,4,3,5,5
18,0,0,5,3,1,5,5,4
32,1,1,1,3,4,4,5,5
15,0,1,5,3,2,5,5,3
35,0,1,5,2,2,2,5,5
57,1,0,2,2,5,5,5,4
16,0,1,3,5,1,5,3,4
15,0,1,4,2,4,5,5,5
37,1,0,4,3,3,5,5,5
32,1,0,5,4,5,4,5,3
34,0,1,4,2,3,5,4,3
30,1,1,5,3,5,5,3,5
34,1,1,5,3,2,4,5,3
34,0,1,5,3,5,5,5,5
37,0,1,5,4,4,5,5,5
23,1,1,2,4,5,5,5,3
17,0,1,5,2,5,3,5,3
15,0,1,5,3,2,4,5,5
34,1,1,3,4,4,3,5,5
19,1,1,1,2,4,5,5,5
49,0,1,5,3,5,5,3,5
19,0,1,4,5,4,5,5,4
22,1,1,5,3,4,5,5,5
19,1,1,2,4,5,5,5,5
20,1,0,1,3,5,5,3,5
23,1,1,4,2,4,5,5,5
23,1,1,2,3,3,5,5,5
57,1,1,4,4,3,4,4,3
16,1,1,5,4,5,2,5,5
19,0,1,2,3,4,2,5,3
28,1,1,5,2,1,5,3,5
32,1,1,3,4,4,5,5,4
69,0,0,3,5,5,5,5,5
30,1,0,3,2,2,3,4,5
41,1,0,5,4,5,5,5,3
22,0,1,3,5,5,5,5,4
19,1,1,3,5,5,5,4,2
40,0,1,4,2,5,5,5,4
18,1,1,5,3,4,3,5,3
19,1,1,4,3,3,4,5,5
17,0,0,4,1,4,5,5,4
71,1,0,5,3,4,4,5,5
58,1,0,1,2,2,5,5,5
34,0,1,3,2,5,5,5,5
28,1,0,2,3,4,5,5,2
19,0,0,5,3,5,5,5,3
15,1,1,3,5,5,5,4,5
15,0,0,5,3,5,5,5,2
71,1,0,4,4,5,5,5,2
33,1,0,4,4,5,4,5,5
35,1,0,3,4,4,5,5,4
29,1,1,3,2,4,4,2,5
15,0,1,4,5,4,4,5,3
19,1,1,5,3,1,4,2,5
15,1,0,5,1,1,4,5,4
44,1,1,5,3,5,5,5,3
18,1,0,3,4,4,5,5,3
18,1,0,4,4,4,5,5,3
19,1,1,1,2,4,5,5,5
64,1,1,1,5,2,5,5,1
31,1,1,3,5,3,5,5,5
49,1,1,4,4,4,5,5,5
26,1,1,5,4,5,3,5,3
32,0,1,5,1,2,5,5,5
26,0,0,5,5,3,4,5,5
48,1,1,5,2,1,5,5,5
18,1,1,3,1,3,5,5,5
56,1,1,5,3,5,4,5,5
20,0,1,3,2,5,5,5,3
27,1,0,5,2,5,5,5,5
64,1,0,5,5,3,3,5,5
21,1,0,5,2,4,5,5,5
33,0,1,5,4,5,4,5,2
35,1,1,3,1,5,5,5,5
22,1,1,5,2,2,4,5,5
72,1,0,5,4,2,5,5,2
28,1,1,3,5,4,5,5,5
21,1,0,2,5,3,1,5,5
32,1,1,5,5,5,4,5,4
17,0,1,5,4,3,2,5,3
26,0,1,4,3,4,5,5,5
16,1,1,4,2,2,5,5,2
22,1,1,3,4,2,3,5,5
44,1,0,2,5,5,4,5,3
43,0,0,5,1,4,3,5,5
28,0,1,5,4,3,5,5,3
28,1,1,3,4,1,5,5,4
33,1,1,4,3,3,5,5,4
26,0,1,5,4,4,3,5,5
31,0,0,4,4,2,4,5,5
55,0,1,2,3,3,5,5,5
33,0,1,4,2,3,5,3,5
22,1,0,5,4,5,5,5,5
45,0,1,1,5,1,5,4,5
31,0,1,5,5,5,5,5,5
17,0,1,4,3,3,3,5,5
33,0,1,5,3,5,5,5,5
73,1,1,5,2,3,5,5,5
32,0,1,3,3,2,4,5,5
32,0,1,2,4,5,5,5,5
17,1,1,3,5,3,3,5,2
18,0,1,5,3,3,3,5,2
30,0,1,3,5,5,5,5,5
19,1,0,5,2,4,5,5,4
23,0,1,5,5,4,3,5,4
16,0,1,4,4,5,4,5,5
26,0,1,4,5,5,5,5,4
48,1,0,4,4,5,3,5,1
18,1,1,2,3,2,5,5,5
22,0,0,3,3,3,5,5,5
38,1,1,5,3,3,4,5,5
54,1,1,4,4,2,5,5,5
34,1,0,4,2,1,4,5,2
29,1,0,3,2,5,5,5,4
59,1,1,3,4,4,5,5,1
49,0,1,4,5,5,5,5,3
47,0,1,3,5,3,3,5,5
18,1,0,3,4,2,5,5,5
34,1,1,4,2,5,3,5,5
15,1,1,4,4,4,3,5,3
44,1,0,4,4,5,3,4,3
22,1,0,2,3,5,3,5,5
53,1,0,4,5,3,5,3,5
19,1,0,3,5,3,5,5,5
35,0,1,5,4,2,5,5,5
34,0,1,3,1,4,4,5,5
19,1,1,5,5,2,5,3,5
26,1,1,5,5,3,4,5,3
32,1,0,5,3,2,5,5,5
20,1,1,5,4,2,5,5,3
33,0,1,5,5,2,5,5,5
21,1,0,2,3,3,5,4,5
21,0,1,5,5,3,4,5,5
78,0,0,2,3,5,5,5,5
48,0,1,3,3,5,4,5,3
32,1,0,5,2,5,5,5,2
30,1,1,5,3,1,5,5,4
29,1,0,4,2,3,5,5,5
17,0,1,4,3,2,5,3,5
35,1,1,5,3,3,5,5,5
15,0,0,5,4,2,5,5,3
20,0,1,3,5,5,3,5,5
19,1,1,4,3,1,4,5,5
20,0,1,5,4,5,5,5,5
20,0,1,5,5,5,5,5,5
47,0,0,5,4,2,5,5,5
37,0,1,4,1,5,5,5,5
23,1,1,5,5,4,5,5,4
17,0,1,4,5,5,5,5,5
39,1,1,3,3,2,3,5,4
25,1,1,4,4,1,5,5,2
17,1,1,3,3,4,5,5,5
19,0,1,5,5,5,2,5,3
30,1,1,5,5,4,4,5,5
50,1,0,4,5,4,5,5,5
30,1,1,5,4,3,5,5,5
26,1,0,5,2,3,3,4,1
16,1,1,4,3,4,5,3,2
69,0,1,4,5,2,5,5,4
19,1,1,5,4,2,5,4,4
16,1,0,5,4,5,3,5,4
66,0,1,5,2,3,3,5,5
26,0,1,5,5,4,4,5,5
80,0,1,4,5,2,5,5,5
33,1,0,5,3,1,5,5,5
30,0,1,3,2,2,4,5,5
18,0,1,4,2,2,5,5,5
30,1,0,4,2,5,5,5,5
15,1,1,5,1,3,5,5,3
32,1,0,5,2,5,3,5,5
65,1,0,5,1,4,5,5,4
15,1,1,3,2,4,2,5,1
15,1,1,5,4,3,5,5,3
31,0,1,1,3,3,5,5,4
33,0,1,5,3,5,5,5,5
20,0,1,5,2,3,5,5,5
18,1,1,2,5,5,5,5,3
54,1,1,4,5,5,5,5,5
33,0,1,5,4,3,5,4,5
27,0,0,3,5,3,5,5,5
22,1,1,2,4,4,5,5,5
19,1,1,3,3,5,5,5,5
25,1,0,4,3,4,3,5,4
69,0,1,3,5,4,5,5,4
32,1,1,2,5,4,5,5,3
59,0,1,3,5,3,3,5,5
20,1,1,5,3,4,5,5,5
22,0,1,5,3,5,5,5,5
35,1,1,5,1,4,2,5,4
32,0,1,3,5,4,2,5,4
23,0,1,5,3,2,5,5,3
31,1,1,2,4,4,5,5,5
30,1,0,5,1,3,5,5,5
37,0,1,3,1,5,5,5,4
23,0,0,3,2,4,5,5,4
19,0,1,2,5,5,3,5,4
34,0,0,3,1,5,5,5,5
18,0,1,4,2,1,4,5,5
20,1,1,5,5,5,4,5,2
29,1,1,1,2,5,5,5,5
31,0,1,4,5,3,5,5,5
19,0,1,5,5,4,5,5,5
22,1,0,2,1,5,5,4,4
19,1,0,4,4,5,5,5,4
31,0,1,5,3,4,5,5,5
16,1,1,3,3,5,5,5,5
19,1,1,4,1,2,4,5,3
59,1,0,5,3,4,5,5,5
17,0,1,3,4,2,4,5,2
20,1,0,3,5,2,3,5,4
26,0,1,2,3,3,5,5,3
16,0,1,4,4,1,5,5,4
56,0,1,3,2,4,5,5,5
30,0,0,3,2,4,5,4,5
20,0,0,5,4,3,5,5,3
22,1,1,4,2,1,5,5,5
17,1,0,5,5,3,5,5,4
17,1,1,5,4,4,5,5,5
59,1,1,3,3,5,5,5,5
37,1,0,2,2,5,5,5,5
17,1,1,3,2,5,5,5,3
25,0,1,5,3,1,5,5,5
32,1,1,5,4,3,5,5,5
51,0,1,4,2,4,5,5,4
26,1,0,5,3,1,5,5,2
15,1,0,5,2,2,5,5,5
20,0,0,4,3,4,5,5,5
53,1,1,3,1,5,5,5,5
23,1,1,5,5,2,5,4,5
15,1,1,4,2,3,5,5,5
16,0,1,5,3,3,4,5,3
28,0,0,2,2,5,5,5,4
19,1,0,5,3,5,2,5,2
29,0,1,5,5,5,5,5,5
15,0,0,4,3,3,5,5,3
51,1,1,5,2,5,3,5,5
42,0,0,5,3,3,5,5,3
15,1,1,4,2,2,3,3,2
24,1,1,5,5,2,2,5,4
33,1,0,5,3,5,5,5,2
40,1,0,1,5,3,5,5,3
18,1,1,5,2,5,5,4,5
15,1,1,4,3,1,5,5,5
19,1,1,2,4,1,5,5,2
55,1,0,5,3,4,5,5,5
58,1,1,2,3,3,5,5,4
29,1,1,5,3,4,5,5,5
52,1,1,5,5,5,5,5,5
52,1,1,2,5,2,5,5,5
17,0,1,5,2,2,5,5,4
32,0,0,5,5,4,5,5,3
30,0,1,5,3,4,5,5,5
23,0,1,4,2,2,2,5,3
19,0,1,3,5,2,5,5,5
39,1,0,5,1,5,3,5,2
17,0,0,3,3,4,5,5,5
18,1,0,3,1,2,5,5,3
16,1,1,3,2,2,2,5,4
26,0,1,5,2,2,3,5,5
50,0,0,2,5,2,5,3,5
31,1,1,4,3,5,5,5,4
19,1,0,3,5,2,5,3,5
30,1,1,3,2,5,5,4,2
19,1,1,4,2,5,3,5,3
30,0,1,2,3,4,4,5,4
46,1,1,1,2,5,5,5,5
15,0,1,2,2,5,5,5,5
16,1,1,5,2,3,4,5,3
17,1,1,5,3,1,5,4,5
37,1,0,2,2,5,5,5,5
18,0,1,4,1,2,5,4,4
17,0,1,5,5,3,5,5,3
29,0,1,2,3,2,5,5,2
30,1,0,5,2,3,5,3,5
15,0,1,3,5,5,2,5,5
16,1,1,3,3,3,3,5,5
17,0,1,4,4,3,5,5,3
22,0,1,5,3,5,5,5,2
15,1,0,4,3,4,5,5,4
18,1,0,5,4,5,5,5,5
15,1,0,4,3,3,5,5,2
44,0,0,5,3,2,5,5,4
45,1,1,2,4,4,5,5,5
26,0,1,5,4,3,5,5,4
20,0,1,5,4,3,5,5,2
40,1,1,3,3,2,5,5,5
20,1,1,2,4,3,5,5,5
22,1,0,4,5,2,4,5,5
32,1,1,5,1,4,5,5,5
52,0,1,4,3,2,3,5,5
34,0,1,4,5,5,4,5,3
67,1,0,3,3,5,5,4,5
54,1,0,2,5,5,5,5,5
30,1,0,3,2,4,5,5,5
54,1,1,4,3,3,5,5,4
20,1,1,5,5,5,5,5,2
22,0,1,5,4,5,5,5,5
21,0,1,3,1,4,5,5,5
18,1,1,2,3,3,5,5,3
24,1,1,4,3,1,5,5,5
34,1,1,4,4,3,5,5,3
19,0,1,3,3,4,5,5,2
35,1,1,5,4,3,4,4,5
28,0,1,4,4,3,5,5,5
33,0,1,4,3,2,5,4,5
40,1,1,5,5,3,5,5,5
32,0,0,5,5,3,5,5,5
17,1,1,3,2,1,5,5,3
18,1,0,5,5,5,5,5,5
35,1,0,3,1,5,5,4,5
25,1,1,3,2,2,4,4,5
57,1,1,5,4,2,3,5,5
19,1,1,4,5,4,5,5,2
17,1,1,1,2,4,5,5,5
33,1,1,2,1,3,5,4,5
35,1,1,1,5,5,5,5,5
19,1,1,5,3,1,5,5,4
69,0,1,5,3,5,5,5,3
54,1,0,5,1,3,5,5,4
30,0,0,2,3,5,3,5,5
16,1,1,4,3,5,5,5,2
55,1,1,5,5,5,5,4,4
16,0,1,3,3,5,5,5,5
30,1,1,4,3,4,5,4,5
26,1,1,5,5,3,5,5,5
17,0,1,2,3,3,3,5,2
17,1,1,5,3,4,5,5,5
27,0,1,3,5,1,5,4,5
52,1,1,4,1,4,2,4,5
31,1,1,2,5,4,5,4,3
79,0,1,5,3,4,2,5,5
28,1,1,4,3,1,5,5,3
16,1,1,5,5,5,5,5,4
42,1,0,4,2,5,4,5,5
15,1,1,1,2,5,3,5,5
65,0,1,4,2,2,5,5,5
16,0,0,5,3,2,5,5,5
24,1,1,4,5,4,5,5,5
16,1,1,5,5,2,5,5,5
53,0,0,5,3,4,4,5,4
36,1,0,5,2,3,4,5,5
35,0,0,3,5,5,1,5,2
28,0,0,4,5,5,5,5,5
18,0,0,3,5,5,5,5,4
27,1,1,5,3,4,5,4,5
39,0,1,5,2,4,5,4,5
16,0,1,2,2,4,5,5,5
16,0,1,4,2,2,2,5,3
18,1,0,3,5,2,3,5,3
32,1,1,4,4,5,5,5,5
17,1,0,5,5,2,4,5,5
17,0,1,4,3,4,5,5,5
76,0,1,3,4,5,4,5,3
30,0,1,4,4,5,5,5,5
31,0,0,5,3,2,5,5,5
21,1,0,5,2,4,3,5,5
31,1,1,2,4,4,5,5,5
23,1,0,4,4,4,5,5,5
59,1,1,4,2,5,5,5,5
21,1,1,3,1,4,4,5,3
30,1,0,5,5,4,5,5,5
15,1,1,5,3,2,4,5,3
16,0,1,3,3,3,5,5,4
28,1,1,3,5,5,5,5,2
16,1,1,4,2,2,3,5,2
35,1,1,5,5,4,5,5,5
24,0,0,4,3,2,3,5,4
28,1,1,5,3,5,3,5,5
25,1,1,2,4,5,4,5,5
57,1,1,2,1,4,3,5,5
19,0,1,4,2,4,5,5,3
47,0,0,4,3,2,3,5,3
22,0,0,4,4,3,5,5,3
22,1,1,4,4,2,2,5,5
18,0,1,5,3,3,5,5,5
19,1,1,5,4,2,5,5,5
24,1,1,3,3,5,5,3,5
47,0,1,2,4,3,4,4,5
17,0,1,5,4,4,4,5,4
74,0,0,4,3,3,5,5,2
32,1,1,3,2,3,5,5,5
35,0,1,1,2,4,5,5,5
